Statename,FIPS,Date,Days_from_Ref,RelativeMobility,CumulativeMobility,Actual-Predict,FatalityRA,CumFatality_Stayput,SchoolOpenNow1%,SchoolOpenNow2%,MaskMandate25%,MaskMandate50%,Shutdown1week,Shutdown2week,Population
Indiana,18,2020-9-12,157,,,Prediction,11.017657829985,3438.20733872741,3438.20733872741,3438.20733872741,3438.20733872741,3438.20733872741,3438.20733872741,3438.20733872741,6732219
South Carolina,45,2020-9-12,84,,,Prediction,20.2903180841917,3058.35422754629,3058.35422754629,3058.35422754629,3058.35422754629,3058.35422754629,3058.35422754629,3058.35422754629,5148714
North Carolina,37,2020-9-12,150,,,Prediction,24.2228379756165,3013.68123207127,3013.68123207127,3013.68123207127,3013.68123207127,3013.68123207127,3013.68123207127,3013.68123207127,10488084
Virginia,51,2020-9-12,152,,,Prediction,12.8908759166959,2732.47460622431,2732.47460622431,2732.47460622431,2732.47460622431,2732.47460622431,2732.47460622431,2732.47460622431,8535519
Mississippi,28,2020-9-12,124,,,Prediction,29.8244970341404,2799.14811590338,2799.14811590338,2799.14811590338,2799.14811590338,2799.14811590338,2799.14811590338,2799.14811590338,2976149
Alabama,1,2020-9-12,167,,,Prediction,16.7219727970208,2361.72445997382,2361.72445997382,2361.72445997382,2361.72445997382,2361.72445997382,2361.72445997382,2361.72445997382,4903185
Colorado,8,2020-9-12,173,,,Prediction,5.54575104536794,2007.20953750841,2007.20953750841,2007.20953750841,2007.20953750841,2007.20953750841,2007.20953750841,2007.20953750841,5758736
Washington,53,2020-9-12,154,,,Prediction,17.0709571691193,2119.40958139519,2119.40958139519,2119.40958139519,2119.40958139519,2119.40958139519,2119.40958139519,2119.40958139519,7614893
Minnesota,27,2020-9-12,151,,,Prediction,12.0795625362143,2009.97041403344,2009.97041403344,2009.97041403344,2009.97041403344,2009.97041403344,2009.97041403344,2009.97041403344,5639632
Tennessee,47,2020-9-12,152,,,Prediction,36.9036702569822,2175.86478591513,2175.86478591513,2175.86478591513,2175.86478591513,2175.86478591513,2175.86478591513,2175.86478591513,6829174
Missouri,29,2020-9-12,151,,,Prediction,10.6001943664756,1596.53220261552,1596.53220261552,1596.53220261552,1596.53220261552,1596.53220261552,1596.53220261552,1596.53220261552,6137428
Nevada,32,2020-9-12,152,,,Prediction,29.6052705199591,1637.59055336489,1637.59055336489,1637.59055336489,1637.59055336489,1637.59055336489,1637.59055336489,1637.59055336489,3080156
Wisconsin,55,2020-9-12,154,,,Prediction,5.27783299799335,1195.1065780216,1195.1065780216,1195.1065780216,1195.1065780216,1195.1065780216,1195.1065780216,1195.1065780216,5822434
Rhode Island,44,2020-9-12,148,,,Prediction,0.626178818605832,1057.70458450075,1057.70458450075,1057.70458450075,1057.70458450075,1057.70458450075,1057.70458450075,1057.70458450075,1059361
Iowa,19,2020-9-12,161,,,Prediction,11.5472333164145,1243.44965185792,1243.44965185792,1243.44965185792,1243.44965185792,1243.44965185792,1243.44965185792,1243.44965185792,3155070
New Jersey,34,2020-9-13,164,,,Prediction,5.06079983190997,16006.2712811635,16006.2712811635,16006.2712811635,16006.2712811635,16006.2712811635,16006.2712811635,16006.2712811635,8882190
California,6,2020-9-13,165,,,Prediction,177.298985664773,15260.6230383345,15260.6230383345,15260.6230383345,15260.6230383345,15260.6230383345,15260.6230383345,15260.6230383345,39512223
Texas,48,2020-9-13,85,,,Prediction,357.883970075777,17079.6569875129,17079.6569875129,17079.6569875129,17079.6569875129,17079.6569875129,17079.6569875129,17079.6569875129,28995881
Florida,12,2020-9-13,85,,,Prediction,138.029521338198,13081.273283656,13081.273283656,13081.273283656,13081.273283656,13081.273283656,13081.273283656,13081.273283656,21477737
Massachusetts,25,2020-9-13,159,,,Prediction,18.1994033792388,9286.74129497314,9286.74129497314,9286.74129497314,9286.74129497314,9286.74129497314,9286.74129497314,9286.74129497314,6892503
Illinois,17,2020-9-13,159,,,Prediction,18.8175067402132,8494.51616200267,8494.51616200267,8494.51616200267,8494.51616200267,8494.51616200267,8494.51616200267,8494.51616200267,12671821
Pennsylvania,42,2020-9-13,159,,,Prediction,22.3270397612506,7946.95263825889,7946.95263825889,7946.95263825889,7946.95263825889,7946.95263825889,7946.95263825889,7946.95263825889,12801989
Michigan,26,2020-9-13,161,,,Prediction,10.7238076056862,6790.87698334771,6790.87698334771,6790.87698334771,6790.87698334771,6790.87698334771,6790.87698334771,6790.87698334771,9986857
Georgia,13,2020-9-13,85,,,Prediction,99.5005436834894,6810.07908280491,6810.07908280491,6810.07908280491,6810.07908280491,6810.07908280491,6810.07908280491,6810.07908280491,10617423
Arizona,4,2020-9-13,85,,,Prediction,24.8792883584064,5392.43245337063,5392.43245337063,5392.43245337063,5392.43245337063,5392.43245337063,5392.43245337063,5392.43245337063,7278717
Louisiana,22,2020-9-13,163,,,Prediction,41.7487473410934,5486.53544495258,5486.53544495258,5486.53544495258,5486.53544495258,5486.53544495258,5486.53544495258,5486.53544495258,4648794
Connecticut,9,2020-9-13,159,,,Prediction,1.37559272256356,4482.50018435967,4482.50018435967,4482.50018435967,4482.50018435967,4482.50018435967,4482.50018435967,4482.50018435967,3565287
Ohio,39,2020-9-13,157,,,Prediction,29.461386299385,4650.0552779984,4650.0552779984,4650.0552779984,4650.0552779984,4650.0552779984,4650.0552779984,4650.0552779984,11689100
Maryland,24,2020-9-13,153,,,Prediction,8.85303744302838,3868.69998936636,3868.69998936636,3868.69998936636,3868.69998936636,3868.69998936636,3868.69998936636,3868.69998936636,6045680
Indiana,18,2020-9-13,158,,,Prediction,11.0747636185186,3449.28210234593,3449.28210234593,3449.28210234593,3449.28210234593,3449.28210234593,3449.28210234593,3449.28210234593,6732219
South Carolina,45,2020-9-13,85,,,Prediction,19.0010634045432,3077.35529095084,3077.35529095084,3077.35529095084,3077.35529095084,3077.35529095084,3077.35529095084,3077.35529095084,5148714
North Carolina,37,2020-9-13,151,,,Prediction,24.2555407409069,3037.93677281217,3037.93677281217,3037.93677281217,3037.93677281217,3037.93677281217,3037.93677281217,3037.93677281217,10488084
Virginia,51,2020-9-13,153,,,Prediction,13.2236729293798,2745.69827915369,2745.69827915369,2745.69827915369,2745.69827915369,2745.69827915369,2745.69827915369,2745.69827915369,8535519
Mississippi,28,2020-9-13,125,,,Prediction,30.3927137388553,2829.54082964223,2829.54082964223,2829.54082964223,2829.54082964223,2829.54082964223,2829.54082964223,2829.54082964223,2976149
Alabama,1,2020-9-13,168,,,Prediction,16.9859262578103,2378.71038623163,2378.71038623163,2378.71038623163,2378.71038623163,2378.71038623163,2378.71038623163,2378.71038623163,4903185
Colorado,8,2020-9-13,174,,,Prediction,5.82125460818134,2013.0307921166,2013.0307921166,2013.0307921166,2013.0307921166,2013.0307921166,2013.0307921166,2013.0307921166,5758736
Washington,53,2020-9-13,155,,,Prediction,17.2613287854455,2136.67091018064,2136.67091018064,2136.67091018064,2136.67091018064,2136.67091018064,2136.67091018064,2136.67091018064,7614893
Minnesota,27,2020-9-13,152,,,Prediction,12.5033838171907,2022.47379785063,2022.47379785063,2022.47379785063,2022.47379785063,2022.47379785063,2022.47379785063,2022.47379785063,5639632
Tennessee,47,2020-9-13,153,,,Prediction,37.846166596546,2213.71095251167,2213.71095251167,2213.71095251167,2213.71095251167,2213.71095251167,2213.71095251167,2213.71095251167,6829174
Missouri,29,2020-9-13,152,,,Prediction,10.8191039902702,1607.35130660579,1607.35130660579,1607.35130660579,1607.35130660579,1607.35130660579,1607.35130660579,1607.35130660579,6137428
Nevada,32,2020-9-13,153,,,Prediction,30.4339802887128,1668.0245336536,1668.0245336536,1668.0245336536,1668.0245336536,1668.0245336536,1668.0245336536,1668.0245336536,3080156
